num_students,event_attendance,time,day,temperature,campus_block,event_type,room_capacity,historical_occupancy,energy_consumption,traffic_level,resource_availability
1143,0,13:00,Saturday,39.5,Canteen,None,250,15,124.41,4.5,0.94
634,111,16:00,Wednesday,13.1,Block A,Exam,400,108,102.2,100.0,0.73
1147,0,08:00,Thursday,37.2,Canteen,None,250,12,120.79,4.68,0.952
503,0,12:00,Thursday,14.0,Auditorium,None,1000,20,61.36,6.0,0.98
355,173,15:00,Wednesday,30.7,Block C,Workshop,350,89,70.26,100.0,0.746
961,0,17:00,Thursday,31.0,Library,None,300,16,58.92,6.24,0.947
100,175,11:00,Tuesday,24.0,Block C,Lecture,350,65,31.62,100.0,0.814
537,281,14:00,Sunday,37.2,Auditorium,Lecture,1000,180,216.46,100.0,0.82
786,0,08:00,Sunday,38.7,Block A,None,400,16,78.05,6.24,0.96
150,0,07:00,Tuesday,39.6,Canteen,None,250,1,13.85,0.3,0.996
498,216,14:00,Thursday,18.8,Auditorium,Lecture,1000,164,152.21,100.0,0.836
318,598,13:00,Tuesday,16.9,Canteen,Large Event,250,211,150.73,100.0,0.156
348,253,09:00,Sunday,25.0,Block A,Workshop,400,118,76.68,100.0,0.705
1006,278,13:00,Sunday,37.4,Block C,Cultural,350,193,185.99,100.0,0.449
630,146,20:00,Saturday,19.8,Canteen,Lecture,250,35,55.56,83.5,0.86
258,0,18:00,Wednesday,18.6,Block B,None,500,6,21.88,2.34,0.988
573,0,13:00,Saturday,16.3,Block A,None,400,19,48.58,5.7,0.953
951,51,10:00,Sunday,23.8,Block C,Workshop,350,93,85.8,53.4,0.734
879,0,14:00,Monday,38.4,Parking Area,None,600,19,43.91,7.98,0.968
551,269,10:00,Wednesday,24.2,Canteen,Lecture,250,75,81.51,100.0,0.7
438,259,09:00,Friday,27.0,Parking Area,Seminar,600,111,40.7,100.0,0.815
977,0,09:00,Sunday,24.9,Parking Area,None,600,21,34.64,11.47,0.965
791,214,11:00,Sunday,38.6,Block B,Lecture,500,132,173.4,100.0,0.736
206,0,12:00,Tuesday,30.2,Auditorium,None,1000,8,24.43,2.4,0.992
606,0,10:00,Sunday,12.6,Canteen,None,250,8,57.65,2.4,0.968
546,0,14:00,Saturday,19.2,Parking Area,None,600,13,20.15,5.46,0.978
435,179,08:00,Friday,12.7,Parking Area,Seminar,600,65,35.46,100.0,0.892
506,58,16:00,Saturday,35.3,Auditorium,Lecture,1000,65,117.35,63.05,0.935
347,489,19:00,Monday,21.7,Block C,Large Event,350,177,81.39,100.0,0.494
125,235,20:00,Thursday,15.0,Library,Workshop,300,49,24.68,100.0,0.837
413,242,09:00,Saturday,26.6,Canteen,Lecture,250,52,59.47,100.0,0.792
1052,243,20:00,Saturday,28.6,Library,Seminar,300,82,84.06,100.0,0.727
1023,0,10:00,Sunday,25.0,Block A,None,400,30,73.83,9.0,0.925
765,113,14:00,Tuesday,21.9,Block A,Lecture,400,112,94.59,90.1,0.72
665,25,15:00,Tuesday,14.4,Library,Seminar,300,44,52.45,25.7,0.853
1075,0,17:00,Saturday,25.7,Canteen,None,250,14,85.55,5.46,0.944
598,176,17:00,Friday,22.3,Block B,Lecture,500,110,89.13,100.0,0.78
820,252,11:00,Wednesday,19.0,Parking Area,Workshop,600,146,60.66,100.0,0.757
479,118,10:00,Saturday,25.6,Block A,Seminar,400,94,66.9,87.2,0.765
305,119,11:00,Tuesday,22.1,Library,Workshop,300,51,33.34,74.8,0.83
211,0,15:00,Wednesday,31.5,Block B,None,500,7,21.95,2.1,0.986
125,0,16:00,Wednesday,25.1,Auditorium,None,1000,4,13.34,1.56,0.996
1078,0,08:00,Sunday,13.8,Block A,None,400,23,86.72,8.97,0.943
405,0,19:00,Friday,38.6,Parking Area,None,600,5,16.92,2.1,0.992
562,287,13:00,Thursday,37.4,Library,Seminar,300,110,97.49,100.0,0.633
223,0,16:00,Saturday,14.8,Auditorium,None,1000,8,25.37,3.12,0.992
421,142,09:00,Friday,14.1,Block C,Workshop,350,76,63.05,100.0,0.783
166,138,11:00,Saturday,19.9,Library,Lecture,300,44,23.94,82.2,0.853
505,237,08:00,Friday,18.3,Block B,Exam,500,157,121.36,100.0,0.686
439,0,19:00,Wednesday,28.7,Block B,None,500,10,31.52,3.0,0.98
722,0,18:00,Thursday,38.4,Auditorium,None,1000,17,98.56,6.63,0.983
984,185,16:00,Wednesday,12.7,Block A,Workshop,400,152,163.95,100.0,0.62
142,157,16:00,Monday,33.4,Canteen,Workshop,250,37,40.47,100.0,0.852
471,243,17:00,Sunday,25.8,Auditorium,Exam,1000,201,181.91,100.0,0.799
314,0,20:00,Tuesday,21.2,Block C,None,350,5,15.81,1.5,0.986
175,432,08:00,Wednesday,19.1,Auditorium,Large Event,1000,270,204.39,100.0,0.73
102,297,14:00,Thursday,13.5,Canteen,Lecture,250,59,47.24,100.0,0.764
205,124,11:00,Friday,15.7,Auditorium,Workshop,1000,89,90.68,88.7,0.911
590,0,18:00,Tuesday,20.7,Auditorium,None,1000,19,59.57,7.41,0.981
332,256,08:00,Saturday,35.3,Block B,Cultural,500,115,106.04,100.0,0.77
950,267,14:00,Tuesday,24.8,Library,Seminar,300,148,103.87,100.0,0.507
379,55,11:00,Sunday,34.1,Library,Lecture,300,26,36.88,35.3,0.913
105,0,11:00,Saturday,20.4,Library,None,300,1,4.81,0.3,0.997
1014,475,14:00,Wednesday,21.3,Auditorium,Large Event,1000,523,392.8,100.0,0.477
589,216,10:00,Sunday,33.7,Block C,Exam,350,146,119.6,100.0,0.583
880,217,17:00,Sunday,35.0,Parking Area,Exam,600,128,72.37,100.0,0.787
779,0,20:00,Monday,36.5,Block A,None,400,13,64.49,3.9,0.968
395,0,13:00,Sunday,30.3,Auditorium,None,1000,16,52.17,4.8,0.984
914,61,20:00,Wednesday,35.9,Block C,Lecture,350,48,80.26,44.9,0.863
1099,297,07:00,Friday,13.9,Block C,Workshop,350,114,105.05,100.0,0.674
988,70,19:00,Saturday,31.7,Block B,Seminar,500,86,120.7,60.8,0.828
194,186,19:00,Monday,20.2,Block C,Exam,350,68,35.56,100.0,0.806
468,107,09:00,Monday,29.1,Library,Lecture,300,38,42.88,84.37,0.873
393,138,14:00,Saturday,19.1,Auditorium,Exam,1000,154,136.76,100.0,0.846
689,299,09:00,Monday,24.4,Canteen,Lecture,250,72,93.43,100.0,0.712
612,253,20:00,Wednesday,17.6,Parking Area,Cultural,600,87,38.14,100.0,0.855
835,171,18:00,Wednesday,12.6,Block B,Lecture,500,107,126.54,100.0,0.786
200,274,20:00,Wednesday,33.7,Block A,Workshop,400,85,63.69,100.0,0.787
613,90,17:00,Monday,37.3,Block B,Workshop,500,77,105.52,88.53,0.846
847,0,18:00,Tuesday,14.5,Auditorium,None,1000,24,104.25,9.36,0.976
849,0,15:00,Friday,37.6,Block B,None,500,27,92.04,8.1,0.946
704,193,19:00,Monday,25.1,Canteen,Cultural,250,58,78.94,100.0,0.768
913,485,12:00,Monday,34.1,Block B,Large Event,500,434,363.16,100.0,0.132
636,215,20:00,Saturday,38.3,Auditorium,Lecture,1000,96,149.03,100.0,0.904
771,133,17:00,Monday,29.8,Block A,Workshop,400,96,105.9,100.0,0.76
386,43,07:00,Wednesday,39.9,Parking Area,Lecture,600,19,21.08,38.08,0.968
1029,0,12:00,Saturday,38.6,Library,None,300,18,73.68,5.4,0.94
416,232,17:00,Monday,35.3,Library,Seminar,300,66,54.46,100.0,0.78
858,0,10:00,Thursday,24.5,Block C,None,350,23,57.54,6.9,0.934
834,51,13:00,Wednesday,17.3,Parking Area,Lecture,600,71,46.36,65.52,0.882
534,0,17:00,Saturday,28.7,Auditorium,None,1000,19,64.04,7.41,0.981
520,55,20:00,Sunday,27.5,Block B,Cultural,500,51,57.21,42.8,0.898
402,0,19:00,Friday,12.1,Block B,None,500,8,32.66,2.4,0.984
457,76,17:00,Sunday,12.7,Block B,Workshop,500,73,81.08,77.87,0.854
132,109,11:00,Monday,15.5,Block B,Workshop,500,66,48.16,74.3,0.868
841,282,16:00,Monday,24.7,Block A,Lecture,400,171,138.48,100.0,0.573
1167,174,14:00,Saturday,39.0,Parking Area,Seminar,600,138,95.91,100.0,0.77
321,271,18:00,Thursday,14.1,Auditorium,Lecture,1000,127,130.74,100.0,0.873
765,0,13:00,Friday,26.9,Block A,None,400,24,61.32,7.2,0.94
334,130,13:00,Thursday,36.9,Block A,Seminar,400,82,81.83,89.6,0.795
294,180,13:00,Wednesday,30.6,Auditorium,Lecture,1000,117,121.09,100.0,0.883
274,0,08:00,Thursday,14.7,Auditorium,None,1000,7,28.72,2.73,0.993
775,0,17:00,Monday,23.5,Library,None,300,14,38.01,5.46,0.953
205,167,16:00,Wednesday,21.8,Auditorium,Exam,1000,133,97.02,100.0,0.867
321,199,20:00,Friday,22.3,Parking Area,Lecture,600,52,17.62,100.0,0.913
153,156,07:00,Tuesday,19.7,Canteen,Lecture,250,24,20.14,85.2,0.904
393,0,16:00,Saturday,23.2,Block C,None,350,11,25.75,4.29,0.969
1186,0,10:00,Thursday,23.8,Block A,None,400,36,88.21,10.8,0.91
273,0,07:00,Tuesday,16.4,Parking Area,None,600,3,8.32,1.26,0.995
968,268,16:00,Thursday,23.6,Block C,Lecture,350,155,119.91,100.0,0.557
680,269,15:00,Saturday,20.6,Block C,Lecture,350,148,107.05,100.0,0.577
717,0,10:00,Sunday,15.8,Block A,None,400,21,59.79,6.3,0.948
981,109,09:00,Thursday,26.9,Block A,Lecture,400,100,118.06,100.0,0.75
247,403,20:00,Saturday,13.2,Parking Area,Large Event,600,131,41.36,100.0,0.782
979,0,16:00,Thursday,31.9,Canteen,None,250,13,93.61,5.07,0.948
451,255,20:00,Saturday,37.8,Block A,Cultural,400,106,99.62,100.0,0.735
920,288,08:00,Thursday,36.4,Block B,Lecture,500,139,171.06,100.0,0.722
1145,0,17:00,Monday,26.9,Canteen,None,250,16,102.63,6.24,0.936
402,140,08:00,Tuesday,19.2,Block C,Seminar,350,71,53.11,100.0,0.797
462,272,14:00,Sunday,27.8,Canteen,Workshop,250,79,82.31,100.0,0.684
761,181,09:00,Thursday,13.9,Library,Workshop,300,73,74.45,100.0,0.757
820,279,08:00,Wednesday,24.9,Block C,Workshop,350,138,104.45,100.0,0.606
284,0,16:00,Friday,26.2,Block C,None,350,7,19.17,2.73,0.98
184,250,19:00,Friday,30.3,Canteen,Seminar,250,41,39.94,100.0,0.836
1022,72,19:00,Sunday,21.6,Block B,Cultural,500,100,96.73,66.0,0.8
996,0,14:00,Friday,26.6,Block B,None,500,38,92.41,11.4,0.924
792,46,19:00,Saturday,30.1,Block C,Lecture,350,42,63.55,35.6,0.88
616,96,12:00,Monday,28.3,Parking Area,Lecture,600,67,38.75,95.34,0.888
902,86,16:00,Saturday,38.3,Parking Area,Seminar,600,75,63.73,100.0,0.875
361,0,17:00,Saturday,35.2,Canteen,None,250,4,34.01,1.56,0.984
967,0,15:00,Wednesday,12.5,Library,None,300,17,68.08,5.1,0.943
1095,118,10:00,Tuesday,16.3,Block C,Cultural,350,132,133.11,98.6,0.623
1178,39,17:00,Wednesday,36.5,Library,Seminar,300,57,99.41,47.58,0.81
439,0,18:00,Thursday,13.2,Block B,None,500,10,41.6,3.9,0.98
1019,139,15:00,Tuesday,20.7,Auditorium,Workshop,1000,201,201.34,100.0,0.799
1002,0,14:00,Sunday,19.9,Canteen,None,250,16,81.9,4.8,0.936
383,328,07:00,Saturday,25.5,Block B,Large Event,500,153,104.26,100.0,0.694
355,345,08:00,Sunday,16.5,Parking Area,Large Event,600,123,43.54,100.0,0.795
554,250,12:00,Monday,23.6,Canteen,Lecture,250,73,80.56,100.0,0.708
867,134,07:00,Wednesday,38.1,Auditorium,Cultural,1000,111,173.24,100.0,0.889
178,0,11:00,Sunday,25.2,Canteen,None,250,3,13.75,0.9,0.988
110,60,07:00,Wednesday,18.0,Auditorium,Lecture,1000,27,27.52,38.1,0.973
327,167,10:00,Wednesday,15.4,Library,Lecture,300,52,41.4,99.1,0.827
327,275,16:00,Friday,12.5,Library,Lecture,300,72,50.91,100.0,0.76
103,0,16:00,Wednesday,18.7,Block B,None,500,3,8.69,1.17,0.994
838,54,15:00,Friday,26.2,Block A,Lecture,400,91,96.62,54.3,0.772
189,218,12:00,Wednesday,32.9,Auditorium,Exam,1000,167,157.65,100.0,0.833
312,190,09:00,Monday,21.9,Block B,Seminar,500,116,78.91,100.0,0.768
1051,265,17:00,Tuesday,34.7,Canteen,Seminar,250,94,168.73,100.0,0.624
512,0,07:00,Sunday,17.6,Auditorium,None,1000,14,50.64,4.2,0.986
1069,149,07:00,Sunday,30.1,Library,Lecture,300,52,79.56,90.1,0.827
779,339,08:00,Sunday,22.3,Block A,Large Event,400,231,139.63,100.0,0.422
482,274,18:00,Thursday,22.3,Auditorium,Lecture,1000,144,123.13,100.0,0.856
261,240,16:00,Sunday,17.1,Block A,Seminar,400,131,84.06,100.0,0.672
727,248,16:00,Saturday,23.9,Block C,Workshop,350,146,95.72,100.0,0.583
822,242,11:00,Saturday,39.4,Block A,Seminar,400,171,182.39,100.0,0.573
1150,101,07:00,Tuesday,35.8,Parking Area,Lecture,600,53,53.49,92.96,0.912
850,0,12:00,Thursday,38.6,Block B,None,500,29,98.52,8.7,0.942
861,247,19:00,Monday,28.1,Auditorium,Cultural,1000,157,174.01,100.0,0.843
332,0,07:00,Saturday,17.2,Parking Area,None,600,4,10.31,1.68,0.993
633,0,18:00,Thursday,18.0,Block A,None,400,14,44.07,5.46,0.965
377,0,20:00,Monday,24.7,Auditorium,None,1000,10,33.69,3.0,0.99
754,541,12:00,Saturday,13.8,Block A,Large Event,400,355,240.86,100.0,0.113
456,0,19:00,Wednesday,26.2,Canteen,None,250,4,33.58,1.2,0.984
1111,0,07:00,Wednesday,27.5,Block B,None,500,23,87.37,6.9,0.954
276,0,08:00,Wednesday,23.1,Library,None,300,4,13.37,1.56,0.987
251,84,12:00,Saturday,14.1,Auditorium,Seminar,1000,76,82.66,64.8,0.924
472,86,13:00,Friday,37.5,Block B,Exam,500,103,115.67,73.9,0.794
431,0,12:00,Saturday,18.3,Block B,None,500,17,37.51,5.1,0.966
613,300,17:00,Friday,19.7,Block C,Large Event,350,172,101.14,100.0,0.509
445,98,09:00,Saturday,29.5,Block A,Lecture,400,62,62.07,87.88,0.845
158,0,08:00,Monday,38.6,Library,None,300,2,11.11,0.78,0.993
953,35,14:00,Saturday,27.3,Block B,Seminar,500,118,129.51,52.9,0.764
931,352,14:00,Monday,31.3,Block B,Large Event,500,348,297.45,100.0,0.304
394,0,12:00,Sunday,32.1,Auditorium,None,1000,15,47.49,4.5,0.985
858,0,15:00,Friday,15.0,Auditorium,None,1000,34,107.43,10.2,0.966
298,0,07:00,Wednesday,38.5,Auditorium,None,1000,6,35.07,1.8,0.994
770,180,10:00,Sunday,16.5,Canteen,Exam,250,86,111.98,100.0,0.656
284,221,15:00,Thursday,39.1,Block C,Lecture,350,85,74.83,100.0,0.757
1063,0,11:00,Friday,12.2,Block A,None,400,33,95.71,9.9,0.917
925,207,07:00,Thursday,13.4,Block C,Seminar,350,94,93.57,100.0,0.731
1132,0,14:00,Sunday,27.4,Block C,None,350,34,76.74,10.2,0.903
298,0,13:00,Wednesday,34.3,Library,None,300,5,21.99,1.5,0.983
1142,0,13:00,Friday,13.1,Canteen,None,250,20,110.54,6.0,0.92
1035,96,16:00,Friday,15.9,Canteen,Lecture,250,56,114.09,84.24,0.776
712,192,15:00,Sunday,26.3,Auditorium,Cultural,1000,198,200.25,100.0,0.802
854,369,17:00,Monday,39.4,Auditorium,Large Event,1000,258,329.71,100.0,0.742
154,262,11:00,Saturday,33.9,Parking Area,Exam,600,111,36.87,100.0,0.815
1083,0,09:00,Friday,29.6,Parking Area,None,600,20,39.78,10.92,0.967
596,216,16:00,Saturday,15.1,Block B,Large Event,500,202,162.19,100.0,0.596
517,230,15:00,Sunday,29.1,Block B,Lecture,500,131,116.43,100.0,0.738
382,0,15:00,Tuesday,27.7,Parking Area,None,600,9,14.61,3.78,0.985
454,0,14:00,Friday,21.6,Auditorium,None,1000,19,49.8,5.7,0.981
641,267,10:00,Tuesday,19.8,Parking Area,Seminar,600,131,54.01,100.0,0.782
524,270,12:00,Thursday,21.8,Block C,Seminar,350,186,97.3,100.0,0.469
877,0,13:00,Sunday,21.7,Block C,None,350,27,53.37,8.1,0.923
261,0,12:00,Thursday,30.4,Block A,None,400,8,21.76,2.4,0.98
656,90,08:00,Friday,32.7,Canteen,Workshop,250,34,81.95,71.76,0.864
576,0,07:00,Monday,23.6,Library,None,300,7,26.02,2.1,0.977
423,0,13:00,Saturday,38.2,Canteen,None,250,6,44.74,1.8,0.976
688,184,11:00,Saturday,13.7,Block B,Seminar,500,167,144.11,100.0,0.666
176,109,13:00,Sunday,16.9,Block B,Workshop,500,89,57.84,81.2,0.822
481,168,07:00,Monday,20.4,Auditorium,Seminar,1000,94,85.45,100.0,0.906
1173,0,14:00,Tuesday,35.8,Block C,None,350,30,99.42,9.0,0.914
1039,0,17:00,Wednesday,32.1,Block A,None,400,28,90.8,10.92,0.93
495,109,16:00,Sunday,29.9,Block C,Workshop,350,70,66.13,98.15,0.8
295,0,09:00,Tuesday,25.4,Block C,None,350,7,19.11,2.73,0.98
646,0,12:00,Wednesday,28.3,Auditorium,None,1000,25,76.39,7.5,0.975
227,80,14:00,Wednesday,16.5,Block C,Seminar,350,51,33.57,55.3,0.854
340,171,12:00,Friday,18.2,Parking Area,Seminar,600,95,33.29,100.0,0.842
865,232,18:00,Friday,37.6,Auditorium,Seminar,1000,159,224.19,100.0,0.841
606,0,17:00,Sunday,28.7,Canteen,None,250,8,50.59,3.12,0.968
259,77,07:00,Sunday,27.3,Library,Seminar,300,22,20.13,45.1,0.927
1165,0,14:00,Monday,31.0,Block B,None,500,41,109.51,12.3,0.918
213,252,09:00,Friday,23.6,Library,Lecture,300,60,31.32,100.0,0.8
144,402,11:00,Sunday,12.1,Parking Area,Large Event,600,176,56.2,100.0,0.707
230,297,07:00,Monday,39.6,Auditorium,Lecture,1000,90,102.2,100.0,0.91
960,211,13:00,Thursday,36.3,Block B,Seminar,500,213,225.37,100.0,0.574
372,198,08:00,Tuesday,39.8,Parking Area,Cultural,600,65,38.12,100.0,0.892
146,352,14:00,Saturday,32.1,Block B,Large Event,500,231,160.01,100.0,0.538
808,0,09:00,Wednesday,17.3,Block B,None,500,26,66.76,10.14,0.948
958,514,19:00,Monday,18.7,Block A,Large Event,400,273,176.46,100.0,0.318
199,145,18:00,Monday,23.3,Auditorium,Workshop,1000,81,69.65,100.0,0.919
386,277,11:00,Tuesday,34.8,Canteen,Seminar,250,78,89.04,100.0,0.688
756,141,11:00,Tuesday,39.6,Library,Seminar,300,71,88.53,91.8,0.763
458,0,17:00,Saturday,24.0,Block C,None,350,9,27.89,3.51,0.974
1174,183,18:00,Thursday,23.4,Parking Area,Seminar,600,112,60.75,100.0,0.813
561,173,20:00,Saturday,16.0,Library,Lecture,300,43,42.85,99.4,0.857
1185,88,13:00,Tuesday,19.1,Auditorium,Cultural,1000,214,245.92,100.0,0.786
289,474,18:00,Sunday,17.3,Auditorium,Large Event,1000,280,235.4,100.0,0.72
249,0,10:00,Sunday,33.3,Library,None,300,4,15.72,1.2,0.987
781,0,11:00,Monday,17.9,Auditorium,None,1000,32,95.16,9.6,0.968
1080,144,18:00,Friday,31.7,Parking Area,Cultural,600,92,65.63,100.0,0.847
879,258,15:00,Saturday,22.1,Block C,Seminar,350,189,124.39,100.0,0.46
1061,183,10:00,Wednesday,20.8,Auditorium,Lecture,1000,204,219.69,100.0,0.796
634,0,15:00,Friday,28.2,Parking Area,None,600,14,24.61,5.88,0.977
603,0,14:00,Friday,30.3,Block C,None,350,16,43.92,4.8,0.954
1104,255,09:00,Saturday,34.3,Canteen,Lecture,250,75,162.56,100.0,0.7
220,0,15:00,Monday,35.5,Auditorium,None,1000,8,31.75,2.4,0.992
944,90,20:00,Saturday,18.5,Block A,Seminar,400,83,88.38,69.9,0.792
223,267,17:00,Thursday,12.4,Library,Lecture,300,59,39.06,100.0,0.803
662,294,11:00,Monday,26.1,Block A,Lecture,400,167,118.45,100.0,0.583
297,0,15:00,Tuesday,18.7,Block B,None,500,10,24.54,3.0,0.98
912,0,08:00,Wednesday,38.9,Block C,None,350,16,78.17,6.24,0.954
265,0,17:00,Sunday,30.2,Parking Area,None,600,5,10.54,2.73,0.992
214,24,18:00,Tuesday,14.3,Auditorium,Workshop,1000,27,38.82,26.13,0.973
295,290,07:00,Tuesday,17.9,Block C,Workshop,350,95,50.03,100.0,0.729
252,0,17:00,Wednesday,37.2,Auditorium,None,1000,7,34.39,2.73,0.993
524,0,16:00,Tuesday,33.1,Canteen,None,250,7,49.03,2.73,0.972
592,0,16:00,Sunday,35.8,Block A,None,400,15,52.9,5.85,0.963
386,60,15:00,Saturday,39.3,Auditorium,Seminar,1000,74,116.01,52.2,0.926
912,0,19:00,Wednesday,12.8,Canteen,None,250,8,83.98,2.4,0.968
868,0,13:00,Tuesday,31.0,Auditorium,None,1000,35,110.65,10.5,0.965
604,0,18:00,Monday,14.3,Library,None,300,9,38.52,3.51,0.97
897,0,12:00,Wednesday,15.0,Parking Area,None,600,23,36.01,9.66,0.962
309,87,08:00,Tuesday,24.1,Block C,Seminar,350,44,34.2,73.71,0.874
824,0,15:00,Monday,28.7,Block A,None,400,26,62.85,7.8,0.935
894,0,19:00,Monday,32.3,Block A,None,400,14,62.82,4.2,0.965
447,214,09:00,Tuesday,19.5,Block B,Workshop,500,133,100.46,100.0,0.734
962,173,14:00,Sunday,14.2,Block B,Lecture,500,161,173.03,100.0,0.678
500,254,08:00,Tuesday,20.5,Parking Area,Lecture,600,84,33.3,100.0,0.86
774,245,12:00,Thursday,34.8,Library,Lecture,300,102,88.73,100.0,0.66
511,0,14:00,Wednesday,17.0,Block B,None,500,18,46.53,5.4,0.964
1105,144,12:00,Thursday,19.8,Parking Area,Seminar,600,139,62.58,100.0,0.768
468,0,17:00,Sunday,27.4,Library,None,300,8,26.85,3.12,0.973
696,0,20:00,Saturday,13.9,Parking Area,None,600,10,22.71,4.2,0.983
720,143,11:00,Saturday,16.3,Parking Area,Lecture,600,79,44.32,100.0,0.868
1081,225,15:00,Friday,37.9,Auditorium,Cultural,1000,253,342.39,100.0,0.747
836,294,16:00,Saturday,37.6,Block A,Seminar,400,188,192.55,100.0,0.53
190,224,19:00,Wednesday,39.0,Parking Area,Lecture,600,43,20.21,100.0,0.928
1162,0,15:00,Friday,31.3,Block C,None,350,31,92.67,9.3,0.911
1124,97,12:00,Monday,25.5,Auditorium,Seminar,1000,192,245.88,100.0,0.808
390,0,12:00,Wednesday,21.6,Block A,None,400,13,26.19,3.9,0.968
997,251,12:00,Monday,20.4,Block C,Lecture,350,168,119.21,100.0,0.52
323,104,18:00,Tuesday,26.4,Canteen,Lecture,250,23,37.44,76.57,0.908
574,227,17:00,Tuesday,17.2,Auditorium,Cultural,1000,178,170.1,100.0,0.822
504,250,16:00,Thursday,22.9,Parking Area,Workshop,600,114,38.95,100.0,0.81
228,72,19:00,Sunday,27.0,Canteen,Seminar,250,17,25.61,41.1,0.932
1102,0,15:00,Saturday,20.8,Block A,None,400,35,80.77,10.5,0.912
1037,108,20:00,Saturday,31.8,Block A,Lecture,400,71,109.33,75.3,0.823
741,80,10:00,Wednesday,15.3,Block A,Seminar,400,96,101.25,68.8,0.76
382,216,13:00,Tuesday,25.6,Auditorium,Lecture,1000,138,124.13,100.0,0.862
1102,167,09:00,Tuesday,20.8,Block B,Workshop,500,167,153.42,100.0,0.666
